source_id,entity_type,entity_name,field_name,field_value,field_unit,page,bbox,trace_id,extraction_method,extraction_confidence,measurement_method,condition_tags,context_snippet,raw_field
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,4677,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 34 2020 Nov-2021 May ... FWHM_mean (km s^{-1}) 4677±19,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,4937,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 34 2020 Nov-2021 Jun ... FWHM_mean (km s^{-1}) 4937±14,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5072,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 35 2021 Oct-2022 Aug ... FWHM_mean (km s^{-1}) 5072±17,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5163,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 35 2021 Nov-2022 May ... FWHM_mean (km s^{-1}) 5163±17,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5066,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 36 2022 Nov-2023 Jul ... FWHM_mean (km s^{-1}) 5066±13,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5407,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 37 2023 Nov-2024 Jun ... FWHM_mean (km s^{-1}) 5407±7,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5741,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 10 1996 Dec-1997 Jul ... FWHM_mean (km s^{-1}) 5741±21,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,6069,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 11 1997 Nov-1998 Jul ... FWHM_mean (km s^{-1}) 6069±22,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5714,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 12 1998 Dec-1999 Apr ... FWHM_mean (km s^{-1}) 5714±21,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,7352,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 15 2001 Dec-2002 Jul ... FWHM_mean (km s^{-1}) 7352±34,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,6224,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 16 2002 Dec-2003 Jul ... FWHM_mean (km s^{-1}) 6224±24,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,6118,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 17 2003 Nov-2004 Jul ... FWHM_mean (km s^{-1}) 6118±42,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5174,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 26 2012 Jan-2012 May ... FWHM_mean (km s^{-1}) 5174±32,
2025ApJ...988..273L,Sy1,NGC 4151,fwhm_broad_hbeta,5366,km s^{-1},5,"[109, 212, 891, 737]",doc20_p5,vlm_table,0.95,reverberation mapping,scope: global;metric: fwhm_broad_hbeta,Table 2. Properties of NGC 4151 with measured τ_cent and velocities of the broad Hβ line for calibration. ... Year 32 2018 Nov-2019 Aug ... FWHM_mean (km s^{-1}) 5366±18,
